keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
주차장,153,116,94,0.1471,0.2394,9.4771,58,47,39,95,69,55
증대,186,164,136,0.2128,0.2911,9.477,74,67,58,112,97,78
수준,179,147,126,0.1972,0.2801,9.4757,68,58,49,111,89,77
리모델링,170,129,114,0.1784,0.266,9.4756,71,58,50,99,71,64
보행,129,81,71,0.1111,0.2019,9.4735,54,35,29,75,46,42
re100,104,60,51,0.0798,0.1628,9.4721,48,27,24,56,33,27
외국인,133,80,75,0.1174,0.2081,9.4667,57,32,29,76,48,46
수요,169,141,114,0.1784,0.2645,9.4648,82,70,60,87,71,54
도약,182,160,132,0.2066,0.2848,9.464,94,80,61,88,80,71
가공,114,63,59,0.0923,0.1784,9.4636,41,22,21,73,41,38
최대,174,148,121,0.1894,0.2723,9.4615,66,57,45,108,91,76
경남,64,40,25,0.0391,0.1002,9.4597,20,15,9,44,25,16
진료,128,79,71,0.1111,0.2003,9.4585,50,28,28,78,51,43
허브,161,123,105,0.1643,0.252,9.4567,82,57,45,79,66,60
가구,130,81,73,0.1142,0.2034,9.455,53,33,29,77,48,44
공사,159,131,103,0.1612,0.2488,9.4531,75,58,43,84,73,60
연계해,96,75,46,0.072,0.1502,9.4497,21,16,10,75,59,36
일원,124,93,68,0.1064,0.1941,9.4496,70,49,39,54,44,29
첨단산업,143,97,86,0.1346,0.2238,9.4473,78,50,44,65,47,42
생활체육,125,74,69,0.108,0.1956,9.4473,64,34,32,61,40,37
규제,154,105,98,0.1534,0.241,9.4452,46,37,37,108,68,61
국토교통부,180,166,132,0.2066,0.2817,9.444,65,57,48,115,109,84
통합돌봄,127,75,71,0.1111,0.1987,9.4434,70,41,37,57,34,34
치유,114,69,60,0.0939,0.1784,9.442,41,27,23,73,42,37
돔구장,32,9,8,0.0125,0.0501,9.4337,9,2,2,23,7,6
반려동물,112,61,59,0.0923,0.1753,9.4286,41,27,26,71,34,33
필요성,79,58,35,0.0548,0.1236,9.4274,33,24,13,46,34,22
투자유치,127,91,72,0.1127,0.1987,9.4265,56,39,31,71,52,41
효과,147,122,92,0.144,0.23,9.4253,36,33,30,111,89,62
현재,144,123,89,0.1393,0.2254,9.4226,34,29,24,110,94,65
부울경,49,23,17,0.0266,0.0767,9.4169,21,11,8,28,12,9
확립,163,148,112,0.1753,0.2551,9.4156,61,58,43,102,90,69
전용,171,147,123,0.1925,0.2676,9.4147,72,61,47,99,86,76
생태,124,78,70,0.1095,0.1941,9.4143,55,36,33,69,42,37
운영비,132,110,78,0.1221,0.2066,9.4063,52,43,29,80,67,49
파크골프장,154,103,102,0.1596,0.241,9.4039,77,52,52,77,51,50
기반시설,147,115,94,0.1471,0.23,9.4023,59,49,40,88,66,54
아니라,108,87,57,0.0892,0.169,9.4009,35,26,18,73,61,39
이동,166,132,118,0.1847,0.2598,9.3992,63,50,44,103,82,74
스마트농업,99,53,50,0.0782,0.1549,9.3992,51,26,24,48,27,26
계속사업,45,44,15,0.0235,0.0704,9.3974,23,22,7,22,22,8
건의,136,104,83,0.1299,0.2128,9.3921,66,49,38,70,55,45
발굴,182,160,144,0.2254,0.2848,9.3891,89,79,68,93,81,76
공항,73,43,32,0.0501,0.1142,9.3873,26,16,12,47,27,20
대표,161,130,113,0.1768,0.252,9.3844,61,49,44,100,81,69
따라,147,129,96,0.1502,0.23,9.3801,69,61,41,78,68,55
활력,176,153,136,0.2128,0.2754,9.3774,74,66,57,102,87,79
바우처,116,72,65,0.1017,0.1815,9.3754,44,27,27,72,45,38
낙동강,55,27,21,0.0329,0.0861,9.3744,22,10,9,33,17,12
여건,153,131,104,0.1628,0.2394,9.3722,61,52,42,92,79,62
보건복지부,162,140,116,0.1815,0.2535,9.3708,59,53,45,103,87,71
방산,84,47,40,0.0626,0.1315,9.3676,41,25,22,43,22,18
금융,113,69,63,0.0986,0.1768,9.363,40,30,28,73,39,35
충북,37,21,11,0.0172,0.0579,9.363,21,13,5,16,8,6
사업시행,35,27,10,0.0156,0.0548,9.3567,13,13,5,22,14,5
북항,29,14,7,0.011,0.0454,9.3532,9,5,3,20,9,4
지속가능한,143,128,94,0.1471,0.2238,9.3508,76,67,48,67,61,46
주변,160,135,116,0.1815,0.2504,9.3481,68,58,51,92,77,65
안전망,150,119,103,0.1612,0.2347,9.3453,64,51,45,86,68,58
경제자유구역,59,31,24,0.0376,0.0923,9.3377,30,13,10,29,18,14
제주형,20,11,3,0.0047,0.0313,9.3348,7,5,1,13,6,2
광주역,20,3,3,0.0047,0.0313,9.3348,15,2,2,5,1,1
왕궁,20,3,3,0.0047,0.0313,9.3348,0,0,0,20,3,3
수변,109,67,61,0.0955,0.1706,9.3327,36,25,22,73,42,39
주차,97,54,51,0.0798,0.1518,9.3317,31,17,16,66,37,35
으로,146,127,100,0.1565,0.2285,9.3252,41,37,29,105,90,71
기관,141,117,94,0.1471,0.2207,9.3245,65,53,39,76,64,55
삶의,164,145,125,0.1956,0.2567,9.3241,69,61,55,95,84,70
단축,145,113,99,0.1549,0.2269,9.3227,64,51,45,81,62,54
위기,143,110,97,0.1518,0.2238,9.3179,62,51,45,81,59,52
양질,172,154,139,0.2175,0.2692,9.3174,82,73,65,90,81,74
이용,149,123,105,0.1643,0.2332,9.3137,65,50,41,84,73,64
확충,1111,726,397,0.6213,1.7387,9.3111,563,338,173,548,388,224
